1,1988336.2635,5987831.0470,2444.1616,
2,1988332.0364,5987809.4473,2447.0169,
3,1988328.0446,5987793.4447,2445.7249,
4,1988345.2290,5987775.6934,2446.1630,
5,1988376.1568,5987730.6581,2439.8711,
6,1988379.5068,5987712.8629,2437.9191,
7,1988422.2712,5987691.8284,2436.0432,
8,1988450.5815,5987680.2107,2430.2164,
9,1988483.2812,5987668.9768,2426.3256,
10,1988515.2483,5987657.7258,2418.4852,
11,1988547.9478,5987646.4919,2413.5864,
12,1988565.8860,5987642.1638,2413.7171,
13,1988584.8161,5987643.7314,2411.5911,
14,1988593.8994,5987644.5064,2411.0390,
15,1988637.6448,5987644.1297,2407.0545,
16,1988673.0741,5987640.2127,2404.6490,
17,1988726.1839,5987644.2439,2394.6881,
18,1988778.2586,5987676.7458,2393.6459,
19,1988800.2806,5987684.5155,2390.3037,
20,1988841.1056,5987700.5404,2381.0384,
21,1988862.8713,5987719.2060,2377.5130,
22,1988912.9897,5987727.0738,2374.8265,
23,1988954.9617,5987739.7801,2374.0710,
24,1989022.0042,5987755.2975,2372.5349,
25,1989036.2834,5987752.0065,2367.1339,
26,1989071.3391,5987764.0124,2355.4940,
27,1989139.8721,5987794.0927,2346.4967,
28,1989179.3110,5987791.1117,2343.7021,
29,1989208.1246,5987804.8892,2340.0914,
30,1989278.7586,5987853.4535,2320.9992,
31,1989294.8633,5987866.0902,2318.0992,
32,1989323.2559,5987867.8796,2321.1195,
33,1989428.4227,5987858.3471,2309.7475,
34,1989478.3153,5987827.7022,2312.4196,
35,1992890.1736,5985606.8920,2633.1451,
36,1992834.6744,5985658.8922,2633.0338,
37,1992873.7439,5985763.6230,2630.0060,
38,1992913.3764,5985860.0158,2625.6455,
39,1992894.0162,5985970.0593,2621.8108,
40,1992847.1727,5986056.5791,2618.5257,
41,1992783.3917,5986195.7284,2608.8342,
42,1992721.7002,5986308.4250,2604.5333,
43,1992655.2506,5986437.7352,2597.6172,
44,1992604.0030,5986541.4626,2592.9607,
45,1992605.6588,5986641.1255,2587.8272,
46,1992526.1357,5986753.6853,2583.6867,
47,1992427.1040,5986826.9804,2574.9900,
48,1992254.6707,5986861.7081,2566.7809,
49,1992268.9541,5987028.3823,2564.5057,
50,1992172.9887,5987142.7803,2556.7556,
51,1991985.7325,5987358.5666,2539.6744,
52,1991922.6024,5987393.6447,2539.6686,
53,1991796.8865,5987425.0071,2530.6140,
54,1991730.4447,5987507.4473,2523.5059,
55,1991662.5206,5987699.8199,2512.9429,
56,1991578.5490,5987706.7835,2509.1613,
57,1991379.2052,5987584.3211,2491.3400,
58,1991263.8682,5987623.7420,2485.8336,
59,1991136.6998,5987731.2857,2476.1010,
60,1991053.0553,5987755.5449,2472.2052,
61,1990971.9226,5987766.4825,2469.3651,
62,1990883.5746,5987803.7551,2459.0290,
63,1990768.4873,5987801.3335,2450.1509,
64,1990649.5124,5987809.6986,2443.1115,
65,1990568.9004,5987689.2021,2439.5881,
66,1990500.1742,5987589.3362,2435.0065,
67,1990472.9695,5987429.0609,2423.2376,
68,1990408.9657,5987346.6159,2412.6358,
69,1990222.8082,5987267.4523,2391.2293,
70,1990019.7962,5987160.8013,2380.2714,
71,1989854.2007,5987183.9994,2369.8059,
72,1989757.2682,5987478.6852,2349.1307,
73,1989695.9182,5987545.9055,2348.8171,
74,1989513.5377,5987662.1960,2334.3333,
75,1989486.4823,5987775.1396,2330.5241,
76,1989402.7252,5987835.4256,2327.2258,
77,1989324.7228,5987805.4040,2321.2521,
78,1989281.4624,5987708.3776,2318.4078,
79,1989149.1621,5987615.6695,2307.1491,
80,1989007.9672,5987499.8715,2295.3418,
81,1988947.0638,5987315.3528,2282.0176,
82,1988869.3910,5987255.7424,2274.4535,
83,1988762.9332,5987259.1128,2265.9397,
84,1988674.3976,5987241.9425,2266.1377,
85,1988518.6453,5987249.1843,2256.7782,
86,1988309.0549,5987314.5858,2244.4979,
87,1988148.9919,5987333.7058,2238.5672,
88,1987972.5723,5987383.4409,2230.7620,
89,1987846.8986,5987350.6119,2221.9366,
90,1987699.8251,5987344.6530,2213.3384,
91,1987431.8630,5987242.6197,2191.8007,
92,1987266.4300,5987210.8202,2178.0056,
93,1987124.7413,5987223.9619,2168.0197,
94,1986933.1629,5987205.2113,2159.5339,
95,1986797.7357,5987106.5694,2147.8723,
96,1986716.3067,5987145.6937,2142.8652,
97,1986759.1928,5987227.3743,2144.5426,
98,1986921.5583,5987435.2328,2193.3747,
99,1986945.4598,5987333.0824,2218.6141,
100,1987011.9748,5987293.0461,2237.9256,
101,1987046.8556,5987360.5696,2258.7975,
102,1987051.5528,5987438.8480,2278.9366,
103,1987144.2928,5987400.5505,2301.6826,
104,1987182.4705,5987418.7608,2313.1735,
105,1987166.8875,5987461.9355,2324.5157,
106,1987266.2679,5987497.2124,2350.4169,
107,1987354.4665,5987511.8242,2370.1406,
108,1987382.6223,5987554.9265,2381.2586,
109,1987353.4019,5987635.1914,2402.8388,
110,1987395.4514,5987736.9468,2426.6867,
111,1987501.3183,5987744.4392,2443.8167,
112,1987603.0425,5987787.8643,2464.3402,
113,1987743.9556,5987901.4376,2492.0486,
114,1987809.7284,5987939.8066,2499.4155,
115,1987863.6030,5987958.1032,2501.3395,
116,1987911.4513,5987969.0057,2499.8080,
117,1987998.0023,5987960.1347,2506.1602,
118,1988056.1056,5987937.4943,2510.6851,
119,1988105.5241,5987928.3368,2512.8007,
120,1988248.6787,5987868.3419,2505.4864,
121,1988323.1546,5987846.9289,2510.2414,
